istatCode,constituencyId
001000,camera-piemonte-1
002000,camera-piemonte-2
003000,camera-valle-d-aosta
004000,camera-lombardia-1
005000,camera-lombardia-2
006000,camera-lombardia-3
007000,camera-lombardia-4
008000,camera-trentino-alto-adige
009000,camera-veneto-1
010000,camera-veneto-2
011000,camera-friuli-venezia-giulia
012000,camera-liguria
013000,camera-emilia-romagna
014000,camera-toscana
015000,camera-umbria
016000,camera-marche
017000,camera-lazio-1
018000,camera-lazio-2
019000,camera-abruzzo
020000,camera-molise
021000,camera-campania-1
022000,camera-campania-2
023000,camera-puglia
024000,camera-basilicata
025000,camera-calabria
026000,camera-sicilia-1
027000,camera-sicilia-2
028000,camera-sardegna
