"CIRCOSCRIZIONE","COLLEGIO_UNINOMINALE","DESCR_LISTA","CANDIDATO","DATA_NASCITA","LUOGO_NASCITA"
"PIEMONTE 1","PIEMONTE 1 - U01 (TORINO: CIRCOSCRIZIONE 2 - SANTA RITA - MIRAFIORI NORD - MIRAFIORI SUD)","MOVIMENTO 5 STELLE","CARLOTTA TEVERE","21/06/1978","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U01 (TORINO: CIRCOSCRIZIONE 2 - SANTA RITA - MIRAFIORI NORD - MIRAFIORI SUD)","AZIONE - ITALIA VIVA - CALENDA","MASSIMO GIUNTOLI","24/02/1969","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U01 (TORINO: CIRCOSCRIZIONE 2 - SANTA RITA - MIRAFIORI NORD - MIRAFIORI SUD)","FRATELLI D'ITALIA CON GIORGIA MELONI","ELENA CHIORINO","02/02/1977","BIELLA "
"PIEMONTE 1","PIEMONTE 1 - U01 (TORINO: CIRCOSCRIZIONE 2 - SANTA RITA - MIRAFIORI NORD - MIRAFIORI SUD)","FORZA ITALIA","ELENA CHIORINO","02/02/1977","BIELLA "
"PIEMONTE 1","PIEMONTE 1 - U01 (TORINO: CIRCOSCRIZIONE 2 - SANTA RITA - MIRAFIORI NORD - MIRAFIORI SUD)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","ELENA CHIORINO","02/02/1977","BIELLA "
"PIEMONTE 1","PIEMONTE 1 - U01 (TORINO: CIRCOSCRIZIONE 2 - SANTA RITA - MIRAFIORI NORD - MIRAFIORI SUD)","LEGA PER SALVINI PREMIER","ELENA CHIORINO","02/02/1977","BIELLA "
"PIEMONTE 1","PIEMONTE 1 - U01 (TORINO: CIRCOSCRIZIONE 2 - SANTA RITA - MIRAFIORI NORD - MIRAFIORI SUD)","ITALEXIT PER L'ITALIA","SERENA TAGLIAFERRI","06/05/1973","BUSTO ARSIZIO (VA)"
"PIEMONTE 1","PIEMONTE 1 - U01 (TORINO: CIRCOSCRIZIONE 2 - SANTA RITA - MIRAFIORI NORD - MIRAFIORI SUD)","ITALIA SOVRANA E POPOLARE","DOMENICA FOLLINO","09/06/1955","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U01 (TORINO: CIRCOSCRIZIONE 2 - SANTA RITA - MIRAFIORI NORD - MIRAFIORI SUD)"," +EUROPA","RICCARDO MAGI","07/08/1976","ROMA (RM)"
"PIEMONTE 1","PIEMONTE 1 - U01 (TORINO: CIRCOSCRIZIONE 2 - SANTA RITA - MIRAFIORI NORD - MIRAFIORI SUD)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","RICCARDO MAGI","07/08/1976","ROMA (RM)"
"PIEMONTE 1","PIEMONTE 1 - U01 (TORINO: CIRCOSCRIZIONE 2 - SANTA RITA - MIRAFIORI NORD - MIRAFIORI SUD)","ALLEANZA VERDI E SINISTRA","RICCARDO MAGI","07/08/1976","ROMA (RM)"
"PIEMONTE 1","PIEMONTE 1 - U01 (TORINO: CIRCOSCRIZIONE 2 - SANTA RITA - MIRAFIORI NORD - MIRAFIORI SUD)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","RICCARDO MAGI","07/08/1976","ROMA (RM)"
"PIEMONTE 1","PIEMONTE 1 - U01 (TORINO: CIRCOSCRIZIONE 2 - SANTA RITA - MIRAFIORI NORD - MIRAFIORI SUD)","VITA","LORENA BASSINO","11/02/1970","CHIVASSO (TO)"
"PIEMONTE 1","PIEMONTE 1 - U01 (TORINO: CIRCOSCRIZIONE 2 - SANTA RITA - MIRAFIORI NORD - MIRAFIORI SUD)","UNIONE POPOLARE CON DE MAGISTRIS","ELISABETTA FORNI","22/02/1951","PARMA"
"PIEMONTE 1","PIEMONTE 1 - U02 (TORINO: CIRCOSCRIZIONE 3 - SAN PAOLO - CENISIA - POZZO STRADA - CITTURIN - BORGATA LESNA)","MOVIMENTO 5 STELLE","CHIARA APPENDINO","12/06/1984","MONCALIERI (TO)"
"PIEMONTE 1","PIEMONTE 1 - U02 (TORINO: CIRCOSCRIZIONE 3 - SAN PAOLO - CENISIA - POZZO STRADA - CITTURIN - BORGATA LESNA)","AZIONE - ITALIA VIVA - CALENDA","MARIA KATJA AGATE","02/07/1976","RIVOLI (TO)"
"PIEMONTE 1","PIEMONTE 1 - U02 (TORINO: CIRCOSCRIZIONE 3 - SAN PAOLO - CENISIA - POZZO STRADA - CITTURIN - BORGATA LESNA)","FRATELLI D'ITALIA CON GIORGIA MELONI","AUGUSTA MONTARULI","14/09/1983","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U02 (TORINO: CIRCOSCRIZIONE 3 - SAN PAOLO - CENISIA - POZZO STRADA - CITTURIN - BORGATA LESNA)","FORZA ITALIA","AUGUSTA MONTARULI","14/09/1983","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U02 (TORINO: CIRCOSCRIZIONE 3 - SAN PAOLO - CENISIA - POZZO STRADA - CITTURIN - BORGATA LESNA)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","AUGUSTA MONTARULI","14/09/1983","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U02 (TORINO: CIRCOSCRIZIONE 3 - SAN PAOLO - CENISIA - POZZO STRADA - CITTURIN - BORGATA LESNA)","LEGA PER SALVINI PREMIER","AUGUSTA MONTARULI","14/09/1983","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U02 (TORINO: CIRCOSCRIZIONE 3 - SAN PAOLO - CENISIA - POZZO STRADA - CITTURIN - BORGATA LESNA)","ITALEXIT PER L'ITALIA","LUCA GIACOMONE","10/10/1971","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U02 (TORINO: CIRCOSCRIZIONE 3 - SAN PAOLO - CENISIA - POZZO STRADA - CITTURIN - BORGATA LESNA)","ITALIA SOVRANA E POPOLARE","DANIELA TALARICO","08/06/1965","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U02 (TORINO: CIRCOSCRIZIONE 3 - SAN PAOLO - CENISIA - POZZO STRADA - CITTURIN - BORGATA LESNA)"," +EUROPA","STEFANO LEPRI","05/02/1961","FIRENZE"
"PIEMONTE 1","PIEMONTE 1 - U02 (TORINO: CIRCOSCRIZIONE 3 - SAN PAOLO - CENISIA - POZZO STRADA - CITTURIN - BORGATA LESNA)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","STEFANO LEPRI","05/02/1961","FIRENZE"
"PIEMONTE 1","PIEMONTE 1 - U02 (TORINO: CIRCOSCRIZIONE 3 - SAN PAOLO - CENISIA - POZZO STRADA - CITTURIN - BORGATA LESNA)","ALLEANZA VERDI E SINISTRA","STEFANO LEPRI","05/02/1961","FIRENZE"
"PIEMONTE 1","PIEMONTE 1 - U02 (TORINO: CIRCOSCRIZIONE 3 - SAN PAOLO - CENISIA - POZZO STRADA - CITTURIN - BORGATA LESNA)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","STEFANO LEPRI","05/02/1961","FIRENZE"
"PIEMONTE 1","PIEMONTE 1 - U02 (TORINO: CIRCOSCRIZIONE 3 - SAN PAOLO - CENISIA - POZZO STRADA - CITTURIN - BORGATA LESNA)","VITA","FEDERICA PATTARINO","26/07/1968","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U02 (TORINO: CIRCOSCRIZIONE 3 - SAN PAOLO - CENISIA - POZZO STRADA - CITTURIN - BORGATA LESNA)","UNIONE POPOLARE CON DE MAGISTRIS","LUIGI CELEBRE","17/01/1995","MILAZZO (ME)"
"PIEMONTE 1","PIEMONTE 1 - U03 (COLLEGNO)","MOVIMENTO 5 STELLE","LUCA CARABETTA","10/06/1991","RIVOLI (TO)"
"PIEMONTE 1","PIEMONTE 1 - U03 (COLLEGNO)","AZIONE - ITALIA VIVA - CALENDA","PAOLA BARBERO","19/11/1953","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U03 (COLLEGNO)","FRATELLI D'ITALIA CON GIORGIA MELONI","ELENA MACCANTI","05/02/1971","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U03 (COLLEGNO)","FORZA ITALIA","ELENA MACCANTI","05/02/1971","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U03 (COLLEGNO)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","ELENA MACCANTI","05/02/1971","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U03 (COLLEGNO)","LEGA PER SALVINI PREMIER","ELENA MACCANTI","05/02/1971","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U03 (COLLEGNO)","ITALEXIT PER L'ITALIA","LUCA CELLAMARE","27/09/1983","ROMA"
"PIEMONTE 1","PIEMONTE 1 - U03 (COLLEGNO)","ITALIA SOVRANA E POPOLARE","MONICA AMORE","14/12/1975","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U03 (COLLEGNO)"," +EUROPA","DAVIDE GARIGLIO","03/04/1967","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U03 (COLLEGNO)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","DAVIDE GARIGLIO","03/04/1967","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U03 (COLLEGNO)","ALLEANZA VERDI E SINISTRA","DAVIDE GARIGLIO","03/04/1967","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U03 (COLLEGNO)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","DAVIDE GARIGLIO","03/04/1967","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U03 (COLLEGNO)","VITA","GIANPIERO ALAIMO","05/06/1958","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U03 (COLLEGNO)","UNIONE POPOLARE CON DE MAGISTRIS","ROSA BARTIROMO","08/01/1985","NAPOLI"
"PIEMONTE 1","PIEMONTE 1 - U04 (CHIERI)","MOVIMENTO 5 STELLE","ANTONINO IARIA","27/12/1970","CONDOFURI (RC)"
"PIEMONTE 1","PIEMONTE 1 - U04 (CHIERI)","AZIONE - ITALIA VIVA - CALENDA","OSVALDO NAPOLI","23/03/1944","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U04 (CHIERI)","FRATELLI D'ITALIA CON GIORGIA MELONI","ALESSANDRO GIGLIO VIGNA","13/12/1980","IVREA (TO)"
"PIEMONTE 1","PIEMONTE 1 - U04 (CHIERI)","FORZA ITALIA","ALESSANDRO GIGLIO VIGNA","13/12/1980","IVREA (TO)"
"PIEMONTE 1","PIEMONTE 1 - U04 (CHIERI)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","ALESSANDRO GIGLIO VIGNA","13/12/1980","IVREA (TO)"
"PIEMONTE 1","PIEMONTE 1 - U04 (CHIERI)","LEGA PER SALVINI PREMIER","ALESSANDRO GIGLIO VIGNA","13/12/1980","IVREA (TO)"
"PIEMONTE 1","PIEMONTE 1 - U04 (CHIERI)","ITALEXIT PER L'ITALIA","ALDO QUERIO GIANETTO","01/11/1972","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U04 (CHIERI)","ITALIA SOVRANA E POPOLARE","VINCENZO VALERIO DONATO","24/05/1977","NAPOLI"
"PIEMONTE 1","PIEMONTE 1 - U04 (CHIERI)"," +EUROPA","ANTONELLA GIORDANO","07/04/1969","SAN SEVERO (FG)"
"PIEMONTE 1","PIEMONTE 1 - U04 (CHIERI)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","ANTONELLA GIORDANO","07/04/1969","SAN SEVERO (FG)"
"PIEMONTE 1","PIEMONTE 1 - U04 (CHIERI)","ALLEANZA VERDI E SINISTRA","ANTONELLA GIORDANO","07/04/1969","SAN SEVERO (FG)"
"PIEMONTE 1","PIEMONTE 1 - U04 (CHIERI)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","ANTONELLA GIORDANO","07/04/1969","SAN SEVERO (FG)"
"PIEMONTE 1","PIEMONTE 1 - U04 (CHIERI)","VITA","ROBERTO CONEDERA","09/08/1957","TERNI"
"PIEMONTE 1","PIEMONTE 1 - U04 (CHIERI)","UNIONE POPOLARE CON DE MAGISTRIS","CADIGIA ESTER PERINI","14/01/1959","IVREA (TO)"
"PIEMONTE 1","PIEMONTE 1 - U05 (MONCALIERI)","MOVIMENTO 5 STELLE","ANTONELLA PEPE","25/05/1974","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U05 (MONCALIERI)","AZIONE - ITALIA VIVA - CALENDA","DANIELA RUFFINO","07/02/1959","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U05 (MONCALIERI)","FRATELLI D'ITALIA CON GIORGIA MELONI","ROBERTO PELLA","06/03/1970","BIELLA"
"PIEMONTE 1","PIEMONTE 1 - U05 (MONCALIERI)","FORZA ITALIA","ROBERTO PELLA","06/03/1970","BIELLA"
"PIEMONTE 1","PIEMONTE 1 - U05 (MONCALIERI)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","ROBERTO PELLA","06/03/1970","BIELLA"
"PIEMONTE 1","PIEMONTE 1 - U05 (MONCALIERI)","LEGA PER SALVINI PREMIER","ROBERTO PELLA","06/03/1970","BIELLA"
"PIEMONTE 1","PIEMONTE 1 - U05 (MONCALIERI)","ITALEXIT PER L'ITALIA","MARINA PITTAU","07/11/1969","SUSA (TO)"
"PIEMONTE 1","PIEMONTE 1 - U05 (MONCALIERI)","ITALIA SOVRANA E POPOLARE","VINCENZA DI BLASI","12/05/1963","PALERMO"
"PIEMONTE 1","PIEMONTE 1 - U05 (MONCALIERI)"," +EUROPA","CARMEN BONINO","29/05/1960","QUILIANO (SV)"
"PIEMONTE 1","PIEMONTE 1 - U05 (MONCALIERI)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","CARMEN BONINO","29/05/1960","QUILIANO (SV)"
"PIEMONTE 1","PIEMONTE 1 - U05 (MONCALIERI)","ALLEANZA VERDI E SINISTRA","CARMEN BONINO","29/05/1960","QUILIANO (SV)"
"PIEMONTE 1","PIEMONTE 1 - U05 (MONCALIERI)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","CARMEN BONINO","29/05/1960","QUILIANO (SV)"
"PIEMONTE 1","PIEMONTE 1 - U05 (MONCALIERI)","VITA","ANNARITA PLATANIA","21/08/1963","TORINO"
