Tabella B 2 - Collegi plurinominali per il Senato della Repubblica,,,,
Regione: Piemonte,,,,
Circoscrizione: Piemonte,,,,
Codice della circoscrizione elettorale,Denominazione della circoscrizione elettorale,Denominazione del collegio plurinominale,Denominazione dei collegi uninominali appartenenti,"Denominazione del comune o 
dell'area sub-comunale 
con la maggiore ampiezza demografica"
1,Piemonte,Piemonte - P01,,
,,,Piemonte - U01,Torino: Circoscrizione 2 - Santa Rita-Mirafiori Nord-Mirafiori Sud
,,,Piemonte - U02,Moncalieri
,,Piemonte - P02,,
,,,Piemonte - U03,Novara
,,,Piemonte - U04,Alessandria
,,,Piemonte - U05,Cuneo
Regione: Lombardia,,,,
Circoscrizione: Lombardia,,,,
Codice della circoscrizione elettorale,Denominazione della circoscrizione elettorale,Denominazione del collegio plurinominale,Denominazione dei collegi uninominali appartenenti,"Denominazione del comune o 
dell'area sub-comunale 
con la maggiore ampiezza demografica"
3,Lombardia,Lombardia - P01,,
,,,Lombardia - U01,Varese
,,,Lombardia - U02,Como
,,,Lombardia - U06,Monza
,,Lombardia - P02,,
,,,Lombardia - U03,Milano: NIL 21 - Buenos Aires - Venezia
,,,Lombardia - U04,Sesto San Giovanni
,,,Lombardia - U05,Cologno Monzese
,,,Lombardia - U10,Pavia
,,Lombardia - P03,,
,,,Lombardia - U07,Bergamo
,,,Lombardia - U08,Brescia
,,,Lombardia - U09,Treviglio
,,,Lombardia - U11,Cremona
Regione: Veneto,,,,
Circoscrizione: Veneto,,,,
Codice della circoscrizione elettorale,Denominazione della circoscrizione elettorale,Denominazione del collegio plurinominale,Denominazione dei collegi uninominali appartenenti,"Denominazione del comune o 
dell'area sub-comunale 
con la maggiore ampiezza demografica"
5,Veneto,Veneto - P01,,
,,,Veneto - U01,Venezia
,,,Veneto - U02,Treviso
,,Veneto - P02,,
,,,Veneto - U03,Padova
,,,Veneto - U04,Vicenza
,,,Veneto - U05,Verona
Regione: Friuli-Venezia Giulia,,,,
Circoscrizione: Friuli-Venezia Giulia,,,,
Codice della circoscrizione elettorale,Denominazione della circoscrizione elettorale,Denominazione del collegio plurinominale,Denominazione dei collegi uninominali appartenenti,"Denominazione del comune o 
dell'area sub-comunale 
con la maggiore ampiezza demografica"
6,Friuli-Venezia Giulia,Friuli-Venezia Giulia - P01,,
,,,Friuli-Venezia Giulia - U01,Trieste
Regione: Liguria,,,,
Circoscrizione: Liguria,,,,
Codice della circoscrizione elettorale,Denominazione della circoscrizione elettorale,Denominazione del collegio plurinominale,Denominazione dei collegi uninominali appartenenti,"Denominazione del comune o 
dell'area sub-comunale 
con la maggiore ampiezza demografica"
7,Liguria,Liguria - P01,,
,,,Liguria - U01,Genova: Municipio VII - Ponente
,,,Liguria - U02,La Spezia
Regione: Emilia-Romagna,,,,
Circoscrizione: Emilia-Romagna,,,,
Codice della circoscrizione elettorale,Denominazione della circoscrizione elettorale,Denominazione del collegio plurinominale,Denominazione dei collegi uninominali appartenenti,"Denominazione del comune o 
dell'area sub-comunale 
con la maggiore ampiezza demografica"
8,Emilia-Romagna,Emilia-Romagna - P01,,
,,,Emilia-Romagna - U01,Parma
,,,Emilia-Romagna - U02,Modena
,,Emilia-Romagna - P02,,
,,,Emilia-Romagna - U03,Bologna
,,,Emilia-Romagna - U04,Ravenna
,,,Emilia-Romagna - U05,Rimini
Regione: Toscana,,,,
Circoscrizione: Toscana,,,,
Codice della circoscrizione elettorale,Denominazione della circoscrizione elettorale,Denominazione del collegio plurinominale,Denominazione dei collegi uninominali appartenenti,"Denominazione del comune o 
dell'area sub-comunale 
con la maggiore ampiezza demografica"
9,Toscana,Toscana - P01,,
,,,Toscana - U01,Arezzo
,,,Toscana - U02,Livorno
,,,Toscana - U03,Prato
,,,Toscana - U04,Firenze
Regione: Umbria,,,,
Circoscrizione: Umbria,,,,
Codice della circoscrizione elettorale,Denominazione della circoscrizione elettorale,Denominazione del collegio plurinominale,Denominazione dei collegi uninominali appartenenti,"Denominazione del comune o 
dell'area sub-comunale 
con la maggiore ampiezza demografica"
10,Umbria,Umbria - P01,,
,,,Umbria - U01,Perugia
Regione: Marche,,,,
Circoscrizione: Marche,,,,
Codice della circoscrizione elettorale,Denominazione della circoscrizione elettorale,Denominazione del collegio plurinominale,Denominazione dei collegi uninominali appartenenti,"Denominazione del comune o 
dell'area sub-comunale 
con la maggiore ampiezza demografica"
11,Marche,Marche - P01,,
,,,Marche - U01,Ascoli Piceno
,,,Marche - U02,Ancona
Regione: Lazio,,,,
Circoscrizione: Lazio,,,,
Codice della circoscrizione elettorale,Denominazione della circoscrizione elettorale,Denominazione del collegio plurinominale,Denominazione dei collegi uninominali appartenenti,"Denominazione del comune o 
dell'area sub-comunale 
con la maggiore ampiezza demografica"
12,Lazio,Lazio - P01,,
,,,Lazio - U02,Roma: Municipio XIV
,,,Lazio - U03,Roma: Municipio V
,,,Lazio - U04,Roma: Municipio VII
,,Lazio - P02,,
,,,Lazio - U01,Viterbo
,,,Lazio - U05,Guidonia Montecelio
,,,Lazio - U06,Latina
Regione: Abruzzo,,,,
Circoscrizione: Abruzzo,,,,
Codice della circoscrizione elettorale,Denominazione della circoscrizione elettorale,Denominazione del collegio plurinominale,Denominazione dei collegi uninominali appartenenti,"Denominazione del comune o 
dell'area sub-comunale 
con la maggiore ampiezza demografica"
13,Abruzzo,Abruzzo - P01,,
,,,Abruzzo - U01,Pescara
Regione: Molise,,,,
Circoscrizione: Molise,,,,
Codice della circoscrizione elettorale,Denominazione della circoscrizione elettorale,Denominazione del collegio plurinominale,Denominazione dei collegi uninominali appartenenti,"Denominazione del comune o 
dell'area sub-comunale 
con la maggiore ampiezza demografica"
14,Molise,Molise - P01,,
,,,Molise - U01,Campobasso
Regione: Campania,,,,
Circoscrizione: Campania,,,,
Codice della circoscrizione elettorale,Denominazione della circoscrizione elettorale,Denominazione del collegio plurinominale,Denominazione dei collegi uninominali appartenenti,"Denominazione del comune o 
dell'area sub-comunale 
con la maggiore ampiezza demografica"
15,Campania,Campania - P01,,
,,,Campania - U04,Napoli: Quartiere 19 - Fuorigrotta
,,,Campania - U05,Giugliano in Campania
,,,Campania - U06,Torre del Greco
,,,Campania - U07,Acerra
,,Campania - P02,,
,,,Campania - U01,Caserta
,,,Campania - U02,Benevento
,,,Campania - U03,Salerno
Regione: Puglia,,,,
Circoscrizione: Puglia,,,,
Codice della circoscrizione elettorale,Denominazione della circoscrizione elettorale,Denominazione del collegio plurinominale,Denominazione dei collegi uninominali appartenenti,"Denominazione del comune o 
dell'area sub-comunale 
con la maggiore ampiezza demografica"
16,Puglia,Puglia - P01,,
,,,Puglia - U01,Foggia
,,,Puglia - U02,Andria
,,,Puglia - U03,Bari
,,,Puglia - U04,Taranto
,,,Puglia - U05,Lecce
Regione: Basilicata,,,,
Circoscrizione: Basilicata,,,,
Codice della circoscrizione elettorale,Denominazione della circoscrizione elettorale,Denominazione del collegio plurinominale,Denominazione dei collegi uninominali appartenenti,"Denominazione del comune o 
dell'area sub-comunale 
con la maggiore ampiezza demografica"
17,Basilicata,Basilicata - P01,,
,,,Basilicata - U01,Potenza
Regione: Calabria,,,,
Circoscrizione: Calabria,,,,
Codice della circoscrizione elettorale,Denominazione della circoscrizione elettorale,Denominazione del collegio plurinominale,Denominazione dei collegi uninominali appartenenti,"Denominazione del comune o 
dell'area sub-comunale 
con la maggiore ampiezza demografica"
18,Calabria,Calabria - P01,,
,,,Calabria - U01,Corigliano-Rossano
,,,Calabria - U02,Reggio di Calabria
Regione: Sicilia,,,,
Circoscrizione: Sicilia,,,,
Codice della circoscrizione elettorale,Denominazione della circoscrizione elettorale,Denominazione del collegio plurinominale,Denominazione dei collegi uninominali appartenenti,"Denominazione del comune o 
dell'area sub-comunale 
con la maggiore ampiezza demografica"
19,Sicilia,Sicilia - P01,,
,,,Sicilia - U01,Palermo: Quartiere 11 - Settecannoli
,,,Sicilia - U02,Marsala
,,,Sicilia - U03,Gela
,,Sicilia - P02,,
,,,Sicilia - U04,Catania
,,,Sicilia - U05,Siracusa
,,,Sicilia - U06,Messina
Regione: Sardegna,,,,
Circoscrizione: Sardegna,,,,
Codice della circoscrizione elettorale,Denominazione della circoscrizione elettorale,Denominazione del collegio plurinominale,Denominazione dei collegi uninominali appartenenti,"Denominazione del comune o 
dell'area sub-comunale 
con la maggiore ampiezza demografica"
20,Sardegna,Sardegna - P01,,
,,,Sardegna - U01,Cagliari
,,,Sardegna - U02,Sassari
